TITLE,FRAME_SIZE,PRDCT_SIZE,PRDCT_CL,PRDCT_CL_NM,WRITER,NATION,LOCATION,IMAGE_URL,IMAGE_NM,RDCNT,WRHOUSNG_DT,ACQS_DT
공간탐색,60.3x74.5cm,50x65cm,7,드로잉,신성희,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/e6d30ba7-ba6c-47df-90d8-b05bbd582836.jpg,180_신성희_공간탐색_soma_1810_acv__DSC0383.jpg,14,20100707,20100709
공간탐색,60.3x74.5cm,50x65cm,7,드로잉,신성희,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/742e4b1b-d6cb-4a77-8899-7f905ef8f88a.jpg,181_신성희_공간탐색_soma_1810_acv__DSC0381.jpg,15,20100707,20100709
부적상승,29x37cm,26.5x18.5cm,7,드로잉,박한진,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/b9223806-1267-4c9b-8feb-a40129e11be0.jpg,120_박한진_부적상승_soma_1810_acv__DSC0424.jpg,3,20071201,20071218
성화불멸,161x131.5cm,161x131.5cm,2,서양화,이준,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/dbf2d989-7b35-4540-b478-060b13074c1b.jpg,163_이준_성화불멸_soma_1810_acv__DSC0379.jpg,8,19860101,20100204
시장에서,57.5x68.7cm,39x50cm,7,드로잉,김태,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/f7858504-75dc-4afd-8893-2cb6c05e38c2.jpg,066_김태_시장에서_soma_1810_acv__DSC0213 1.jpg,10,20051201,20051230
시장풍경,41.6x37.2cm,24x18cm,7,드로잉,박수근,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/ac800a7a-2d0e-479d-9d0f-22aa1596183c.jpg,156_박수근_시장풍경_soma_1810_acv__DSC0078.jpg,24,20081230,20090130
인물좌상,,26.2*38cm,7,드로잉,이만익,한국,수장고,/manage/upload_files/collection/2021/01/13/99a254f7-15b0-4959-b2b6-e1831efcdd53.jpg,인물좌상(이만익).jpg,30,20201214,20201228
저주서간,91.5x158cm,70x135cm,3,서예,오치정(혜천),대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/4bb72ea6-bce2-4cdc-922c-0992e088e12f.jpg,030_오치정(혜천)_저주서간_soma_1810_acv__DSC0358.jpg,6,20031218,20031218
통신연구,73.5x58.8cm,68x53cm,4,판화,백남준,대한민국,미술관 1관,/manage/upload_files/collection/2018/12/26/a9e269f2-639a-4a30-ba1b-9b221da47419.jpg,024_백남준_통신연구_soma_1810_acv__DSC0010.jpg,18,20000201,20000303
거리풍경,,38*26.2cm,7,드로잉,이만익,한국,수장고,/manage/upload_files/collection/2021/01/13/5b788adc-ad1e-4e24-bd81-cb95c2e5078f.jpg,거리풍경(이만익)1.jpg,21,20201214,20201228
남승용의 골인,73.5x58.8cm,68x53cm,4,판화,백남준,대한민국,미술관 1관,/manage/upload_files/collection/2018/12/26/02ed9fd6-151f-4387-836f-adeae300b5c3.jpg,026_백남준_남승용의 골인_soma_1810_acv__DSC0023.jpg,14,20000201,20000303
손기정의 골인,73.5x58.8cm,68x53cm,4,판화,백남준,대한민국,미술관 1관,/manage/upload_files/collection/2018/12/26/2fa32e79-0807-47c5-a084-883e77678b5b.jpg,021_백남준_손기정의 골인_soma_1810_acv__DSC0022.jpg,16,20000201,20000303
자라나는 생각,44x34cm,40x30cm,7,드로잉,임춘희,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/6c9a5060-1c60-48ca-9380-c219e0d55fa2.jpg,137_임춘희_자라나는 생각_soma_1810_acv__DSC0211 1.jpg,57,20080401,20080423
스카프를 두른 여인,126.9x87.4cm,120x80cm,5,사진,인효진,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/d516b715-2ab3-4d21-a2fe-4e33cb6c84ea.jpg,037_인효진_스카프를 두른 여인_soma_1810_acv__DSC0368.jpg,2,20051201,20051230
안테나가 있는 손기정,73.5x58.8cm,68x53cm,4,판화,백남준,대한민국,미술관 1관,/manage/upload_files/collection/2018/12/26/12f369cc-686b-46d1-8883-8a3be3f44105.jpg,020_백남준_안테나가 있는 손기정_soma_1810_acv__DSC0020.jpg,15,20000201,20000303
나선상의 남승용,73.5x58.8cm,68x53cm,4,판화,백남준,대한민국,미술관 1관,/manage/upload_files/collection/2018/12/26/38848a1c-53f6-46e9-8f08-3490025c88cd.jpg,015_백남준_나선상의 남승용_soma_1810_acv__DSC0016.jpg,13,20000201,20000303
살아남은 드로잉,-,98.5x78cm,8,오브제,윤소림,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/8a5876b4-b891-4bd5-95f4-23203709c3ee.jpg,209_윤소림_살아남은 드로잉_soma_1810_acv__DSC0096.jpg,101,20151228,20151228
마음깊이 내려진 닻,-,13.5x35cm,7,드로잉,전윤정,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/ac7818ed-768b-443a-84e3-476572ec1ba5.jpg,211_전윤정_마음깊이 내려진 닻_soma_1810_acv__DSC0252.jpg,141,20151228,20151228
아무것도 설명하지 않는다. 그것은 그저 보기만 하는 것이다. 무엇을 보는가. 절대적 대상이 아니고 절대적 봄이다.,-,27.7x45x3.5cm27.7x45x1.1cm27.7x45x1cm27.7x45x9cm,8,오브제,김신일,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/a7b18699-471f-48b4-b68d-9d9984e98a03.jpg,192_김신일_아무것도 설명하지 않는다. 그것은 그저 보기만 하는 것이다. 무엇을 보는가. 절대적 대상이 아니고 절대적 봄이다._soma_1810_acv__DSC0081 1.jpg,30,20131206,20131206
가니메데스,-,49&times;34cm,7,드로잉,김차섭,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/509e4fdb-0799-4ff4-8d56-9292706cd2b8.jpg,195_김차섭_가니메데스soma_1810_acv__DSC0447.jpg,39,20141224,20141224
기후적응력,79.2x111cm,75.5x107cm,7,드로잉,소윤경,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/1cd25704-be75-4196-93a9-72f2f60adcbb.jpg,104_소윤경_기후적응력_soma_1810_acv__DSC0217 1.jpg,9,20070301,20070402
맹호기상도,131x184cm,106x161cm,1,한국화,허허우인(무유),대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/7e522361-8006-4b2c-9ac1-180c947fcd58.jpg,161_허허우인(무유)_맹호기상도_soma_1810_acv__DSC0277.jpg,5,19860101,20100204
맹호연시구,79.5x163.5cm,24x135cm,3,서예,오치정(혜천),대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/0e23737c-98ac-46b5-8d89-2a4a7ef0d637.jpg,029_오치정(혜천)_맹호연시구_soma_1810_acv__DSC0360.jpg,3,20051218,20051218
에너지풍경,160X240cm,160X240cm,7,드로잉,권혁,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/68ffc294-3f8d-46c2-b512-3840e9365cdb.jpg,182_권혁_에너지 풍경_soma_1810_acv__DSC0455.jpg,16,20111125,20111125
이단평행봉,205.5x175cm,166x136cm,2,서양화,루카 크리스티,-,미술관 수장고,/manage/upload_files/collection/2018/12/26/c310abe7-2df1-4b03-b273-4dd29a4c2dfc.jpg,008_루카 크리스티_이단평행봉_soma_1810_acv__DSC0281.jpg,14,19871231,19890420
태극비룡화,215.5x89.5cm,199x72.5cm,1,한국화,박정일,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/0029f31d-7e90-4fa6-a721-2d21cb3af2cd.jpg,002_박정일_태극비룡화_soma_1810_acv__DSC0190.jpg,18,19861120,19890420
조력자들의 밤-안아주는 손들,-,38.5x46cm,7,드로잉,김정향,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/55523f87-2a4b-4524-a632-dd72378dd280.jpg,203_김정향_조력자들의 밤-안아주는 손들_soma_1810_acv__DSC0254.jpg,84,20151228,20151228
국민체육진흥,210.5x84.5cm,190.5x64cm,3,서예,유달영,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/36f0d223-ffa2-4cf1-b6da-e7692c6fe9cc.jpg,166_유달영_국민체육진흥_soma_1810_acv__DSC0347.jpg,2,19901001,20100204
국엽무궁화도,57.6x159.7cm,33.5x119cm,1,한국화,이상범,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/574ccae2-79f4-4ff4-abeb-4c13cd765194.jpg,013_이상범_국엽무궁화도_soma_1810_acv__DSC0247.jpg,5,19861003,19961003
서울올림픽대회개회식,190x310cm,190x310cm,2,서양화,오승우,대한민국,핸드볼경기장,/manage/upload_files/collection/2018/12/26/ec9454be-2dc8-4fa5-94c5-9c8de18c574f.jpg,164_오승우_서울올림픽대회 개회식_soma_1810_acv__DSC0118.jpg,14,19890605,20100204
서울올림픽대회폐회식,190x310cm,190x310cm,2,서양화,이양노,대한민국,핸드볼경기장,/manage/upload_files/collection/2018/12/26/786b23db-6797-48c5-bb4c-2956350400f7.jpg,165_이양노_서울올림픽대회 폐막식_soma_1810_acv__DSC0120.jpg,9,19890605,20100204
"02.01.13, 삼방동 비탈에서 내려다 본 저탄장",97.2x57.9cm,79x39cm,7,드로잉,류장복,대한민국,미술관 수장고,/manage/upload_files/collection/2018/12/26/e375c92a-3646-472d-b488-dee739f014eb.jpg,076_류정복_2002.01.13. 삼방동 비탈에서 내려다 본 전탄장_soma_1810_acv__DSC0157.jpg,6,20060401,20060605
